ele,time,extensions/TrackPointExtension/hr/__text,extensions/TrackPointExtension/cad/__text,_lat,_lon
1526.6,2016-09-05T13:01:36Z,86,52,35.2039980,-106.6213780
1526.4,2016-09-05T13:01:37Z,86,54,35.2039840,-106.6213380
1526.4,2016-09-05T13:01:38Z,86,57,35.2039700,-106.6212990
1526.2,2016-09-05T13:01:39Z,86,57,35.2039560,-106.6212550
1526.4,2016-09-05T13:01:40Z,86,59,35.2039390,-106.6212080
1526.4,2016-09-05T13:01:41Z,100,60,35.2039230,-106.6211630
1526.6,2016-09-05T13:01:42Z,100,59,35.2039070,-106.6211180
1526.4,2016-09-05T13:01:43Z,100,59,35.2038910,-106.6210730
1526.4,2016-09-05T13:01:44Z,100,60,35.2038750,-106.6210280
1526.4,2016-09-05T13:01:45Z,100,60,35.2038590,-106.6209820
1526.6,2016-09-05T13:01:46Z,100,60,35.2038430,-106.6209350
1526.6,2016-09-05T13:01:47Z,100,62,35.2038280,-106.6208880
1526.6,2016-09-05T13:01:48Z,100,61,35.2038130,-106.6208420
1526.8,2016-09-05T13:01:49Z,100,61,35.2037970,-106.6207960
1526.6,2016-09-05T13:01:50Z,100,61,35.2037830,-106.6207500
1526.8,2016-09-05T13:01:51Z,101,60,35.2037680,-106.6207040
1526.6,2016-09-05T13:01:52Z,109,60,35.2037530,-106.6206580
1526.6,2016-09-05T13:01:53Z,109,60,35.2037380,-106.6206120
1526.6,2016-09-05T13:01:54Z,109,60,35.2037220,-106.6205680
1526.6,2016-09-05T13:01:55Z,109,58,35.2037060,-106.6205230
1526.6,2016-09-05T13:01:56Z,109,59,35.2036900,-106.6204790
1526.8,2016-09-05T13:01:57Z,109,58,35.2036750,-106.6204340
1526.6,2016-09-05T13:01:58Z,109,60,35.2036600,-106.6203890
1526.4,2016-09-05T13:01:59Z,109,59,35.2036460,-106.6203430
1526.4,2016-09-05T13:02:00Z,109,61,35.2036310,-106.6202970
1526.6,2016-09-05T13:02:01Z,109,61,35.2036150,-106.6202520
1526.6,2016-09-05T13:02:02Z,109,61,35.2036000,-106.6202060
1526.6,2016-09-05T13:02:03Z,109,60,35.2035850,-106.6201600
1526.8,2016-09-05T13:02:04Z,109,60,35.2035690,-106.6201150
1526.8,2016-09-05T13:02:05Z,109,61,35.2035530,-106.6200680
1526.6,2016-09-05T13:02:06Z,109,63,35.2035360,-106.6200220
1526.6,2016-09-05T13:02:07Z,109,66,35.2035190,-106.6199740
1526.6,2016-09-05T13:02:08Z,109,66,35.2035030,-106.6199250
1526.8,2016-09-05T13:02:09Z,109,66,35.2034870,-106.6198750
1527.0,2016-09-05T13:02:10Z,109,64,35.2034720,-106.6198250
1526.8,2016-09-05T13:02:11Z,109,66,35.2034560,-106.6197750
1526.8,2016-09-05T13:02:12Z,109,65,35.2034400,-106.6197260
1526.8,2016-09-05T13:02:13Z,109,67,35.2034230,-106.6196750
1526.6,2016-09-05T13:02:14Z,110,67,35.2034070,-106.6196240
1526.6,2016-09-05T13:02:15Z,110,66,35.2033930,-106.6195730
1526.4,2016-09-05T13:02:16Z,110,67,35.2033790,-106.6195210
1526.6,2016-09-05T13:02:17Z,110,67,35.2033650,-106.6194690
1526.4,2016-09-05T13:02:18Z,110,67,35.2033500,-106.6194170
1526.8,2016-09-05T13:02:19Z,110,67,35.2033340,-106.6193660
1526.8,2016-09-05T13:02:20Z,110,67,35.2033200,-106.6193160
1526.6,2016-09-05T13:02:21Z,110,65,35.2033030,-106.6192650
1526.6,2016-09-05T13:02:22Z,110,66,35.2032880,-106.6192130
1526.6,2016-09-05T13:02:23Z,117,65,35.2032730,-106.6191620
1526.6,2016-09-05T13:02:24Z,117,65,35.2032590,-106.6191110
1526.4,2016-09-05T13:02:25Z,117,65,35.2032440,-106.6190600
1526.4,2016-09-05T13:02:26Z,117,65,35.2032290,-106.6190100
1526.6,2016-09-05T13:02:27Z,117,64,35.2032140,-106.6189590
1526.8,2016-09-05T13:02:28Z,117,65,35.2031990,-106.6189080
1526.6,2016-09-05T13:02:29Z,118,64,35.2031830,-106.6188580
1526.6,2016-09-05T13:02:30Z,118,68,35.2031680,-106.6188070
