ele,time,extensions/TrackPointExtension/hr/__text,extensions/TrackPointExtension/cad/__text,_lat,_lon
1527.2,2016-09-02T12:58:11Z,102,21,35.203425,-106.619646
1527,2016-09-02T12:58:12Z,102,21,35.203425,-106.619646
1527.2,2016-09-02T12:58:13Z,102,21,35.203426,-106.619646
1527.2,2016-09-02T12:58:14Z,102,21,35.203418,-106.619634
1527.4,2016-09-02T12:58:15Z,102,21,35.203412,-106.619624
1527.4,2016-09-02T12:58:16Z,102,21,35.203408,-106.619611
1527.6,2016-09-02T12:58:17Z,102,21,35.203403,-106.619594
1527.6,2016-09-02T12:58:18Z,102,21,35.203398,-106.619572
1527.8,2016-09-02T12:58:19Z,102,21,35.203393,-106.619549
1527.6,2016-09-02T12:58:20Z,102,21,35.203384,-106.619525
1527.8,2016-09-02T12:58:21Z,102,55,35.203373,-106.619499
1527.8,2016-09-02T12:58:22Z,102,55,35.203361,-106.619472
1527.8,2016-09-02T12:58:23Z,102,55,35.20335,-106.619445
1527.8,2016-09-02T12:58:24Z,102,0,35.203339,-106.619417
1527.6,2016-09-02T12:58:25Z,102,0,35.20333,-106.61939
1527.6,2016-09-02T12:58:26Z,97,0,35.203322,-106.619362
1527.6,2016-09-02T12:58:27Z,97,30,35.203311,-106.619332
1527.6,2016-09-02T12:58:28Z,97,62,35.203301,-106.6193
1527.6,2016-09-02T12:58:29Z,97,66,35.20329,-106.619265
1527.6,2016-09-02T12:58:30Z,97,67,35.203279,-106.619229
1528,2016-09-02T12:58:31Z,97,67,35.20327,-106.619192
1527.8,2016-09-02T12:58:32Z,97,42,35.203262,-106.619155
1527.8,2016-09-02T12:58:33Z,97,42,35.203254,-106.619118
1527.8,2016-09-02T12:58:34Z,97,70,35.203246,-106.619079
1527.8,2016-09-02T12:58:35Z,97,73,35.203233,-106.61904
1527.8,2016-09-02T12:58:36Z,97,73,35.20322,-106.619001
1527.8,2016-09-02T12:58:37Z,97,76,35.203207,-106.61896
1527.6,2016-09-02T12:58:38Z,97,79,35.203194,-106.618918
1527.8,2016-09-02T12:58:39Z,97,81,35.203182,-106.618875
1527.8,2016-09-02T12:58:40Z,97,83,35.20317,-106.618831
1527.8,2016-09-02T12:58:41Z,97,84,35.203156,-106.618786
1527.8,2016-09-02T12:58:42Z,97,84,35.203144,-106.61874
1528,2016-09-02T12:58:43Z,97,84,35.203132,-106.618694
1528,2016-09-02T12:58:44Z,97,84,35.20312,-106.618649
1528,2016-09-02T12:58:45Z,97,86,35.203109,-106.618605
1528,2016-09-02T12:58:46Z,88,81,35.203096,-106.618561
1528,2016-09-02T12:58:47Z,88,83,35.203084,-106.618516
1528,2016-09-02T12:58:48Z,88,87,35.203071,-106.61847
1528,2016-09-02T12:58:49Z,88,85,35.203059,-106.618425
1528,2016-09-02T12:58:50Z,88,87,35.203045,-106.618379
1528,2016-09-02T12:58:51Z,88,86,35.203032,-106.618333
1528,2016-09-02T12:58:52Z,88,88,35.203018,-106.618287
1528.2,2016-09-02T12:58:53Z,88,91,35.203005,-106.618239
1528.2,2016-09-02T12:58:54Z,88,89,35.202992,-106.61819
1528,2016-09-02T12:58:55Z,88,92,35.202978,-106.618141
1528,2016-09-02T12:58:56Z,88,94,35.202964,-106.618092
1528.4,2016-09-02T12:58:57Z,88,91,35.202949,-106.618043
1528.4,2016-09-02T12:58:58Z,88,93,35.202933,-106.617994
1528.4,2016-09-02T12:58:59Z,88,94,35.202918,-106.617945
1528,2016-09-02T12:59:00Z,88,95,35.202903,-106.617895
1528,2016-09-02T12:59:01Z,88,96,35.202888,-106.617844
