ele,time,extensions/TrackPointExtension/hr/__text,extensions/TrackPointExtension/cad/__text,_lat,_lon
1517.8,2016-09-03T10:32:13Z,70,0,35.2041090,-106.6215600
1517.2,2016-09-03T10:32:14Z,70,0,35.2040960,-106.6215330
1517.6,2016-09-03T10:32:15Z,70,14,35.2040860,-106.6215020
1517.8,2016-09-03T10:32:16Z,70,43,35.2040740,-106.6214670
1517.8,2016-09-03T10:32:17Z,70,46,35.2040580,-106.6214300
1518.2,2016-09-03T10:32:18Z,70,46,35.2040420,-106.6213940
1518.0,2016-09-03T10:32:19Z,70,47,35.2040280,-106.6213570
1518.2,2016-09-03T10:32:20Z,70,49,35.2040130,-106.6213180
1518.2,2016-09-03T10:32:21Z,70,51,35.2040000,-106.6212790
1518.0,2016-09-03T10:32:22Z,70,53,35.2039860,-106.6212390
1518.0,2016-09-03T10:32:23Z,70,55,35.2039720,-106.6211970
1518.0,2016-09-03T10:32:24Z,70,55,35.2039570,-106.6211550
1518.0,2016-09-03T10:32:25Z,70,55,35.2039420,-106.6211140
1518.0,2016-09-03T10:32:26Z,70,55,35.2039260,-106.6210730
1518.2,2016-09-03T10:32:27Z,70,55,35.2039100,-106.6210310
1518.0,2016-09-03T10:32:28Z,70,55,35.2038930,-106.6209900
1518.2,2016-09-03T10:32:29Z,70,56,35.2038770,-106.6209480
1518.2,2016-09-03T10:32:30Z,67,56,35.2038610,-106.6209070
1518.2,2016-09-03T10:32:31Z,67,55,35.2038450,-106.6208640
1518.0,2016-09-03T10:32:32Z,65,56,35.2038300,-106.6208220
1518.0,2016-09-03T10:32:33Z,63,55,35.2038140,-106.6207810
1518.0,2016-09-03T10:32:34Z,63,55,35.2037990,-106.6207390
1518.4,2016-09-03T10:32:35Z,63,56,35.2037840,-106.6206980
1518.2,2016-09-03T10:32:36Z,63,53,35.2037690,-106.6206580
1518.4,2016-09-03T10:32:37Z,63,55,35.2037550,-106.6206170
1518.4,2016-09-03T10:32:38Z,59,55,35.2037420,-106.6205760
1518.2,2016-09-03T10:32:39Z,59,55,35.2037280,-106.6205340
1518.2,2016-09-03T10:32:40Z,59,55,35.2037140,-106.6204930
