ele,time,extensions/TrackPointExtension/hr/__text,extensions/TrackPointExtension/cad/__text,_lat,_lon
1526.6,2016-09-05T13:01:36Z,86,52,35.203998,-106.621378
1526.4,2016-09-05T13:01:37Z,86,54,35.203984,-106.621338
1526.4,2016-09-05T13:01:38Z,86,57,35.20397,-106.621299
1526.2,2016-09-05T13:01:39Z,86,57,35.203956,-106.621255
1526.4,2016-09-05T13:01:40Z,86,59,35.203939,-106.621208
1526.4,2016-09-05T13:01:41Z,100,60,35.203923,-106.621163
1526.6,2016-09-05T13:01:42Z,100,59,35.203907,-106.621118
1526.4,2016-09-05T13:01:43Z,100,59,35.203891,-106.621073
1526.4,2016-09-05T13:01:44Z,100,60,35.203875,-106.621028
1526.4,2016-09-05T13:01:45Z,100,60,35.203859,-106.620982
1526.6,2016-09-05T13:01:46Z,100,60,35.203843,-106.620935
1526.6,2016-09-05T13:01:47Z,100,62,35.203828,-106.620888
1526.6,2016-09-05T13:01:48Z,100,61,35.203813,-106.620842
1526.8,2016-09-05T13:01:49Z,100,61,35.203797,-106.620796
1526.6,2016-09-05T13:01:50Z,100,61,35.203783,-106.62075
1526.8,2016-09-05T13:01:51Z,101,60,35.203768,-106.620704
1526.6,2016-09-05T13:01:52Z,109,60,35.203753,-106.620658
1526.6,2016-09-05T13:01:53Z,109,60,35.203738,-106.620612
1526.6,2016-09-05T13:01:54Z,109,60,35.203722,-106.620568
1526.6,2016-09-05T13:01:55Z,109,58,35.203706,-106.620523
1526.6,2016-09-05T13:01:56Z,109,59,35.20369,-106.620479
1526.8,2016-09-05T13:01:57Z,109,58,35.203675,-106.620434
1526.6,2016-09-05T13:01:58Z,109,60,35.20366,-106.620389
1526.4,2016-09-05T13:01:59Z,109,59,35.203646,-106.620343
1526.4,2016-09-05T13:02:00Z,109,61,35.203631,-106.620297
1526.6,2016-09-05T13:02:01Z,109,61,35.203615,-106.620252
1526.6,2016-09-05T13:02:02Z,109,61,35.2036,-106.620206
1526.6,2016-09-05T13:02:03Z,109,60,35.203585,-106.62016
1526.8,2016-09-05T13:02:04Z,109,60,35.203569,-106.620115
1526.8,2016-09-05T13:02:05Z,109,61,35.203553,-106.620068
1526.6,2016-09-05T13:02:06Z,109,63,35.203536,-106.620022
1526.6,2016-09-05T13:02:07Z,109,66,35.203519,-106.619974
1526.6,2016-09-05T13:02:08Z,109,66,35.203503,-106.619925
1526.8,2016-09-05T13:02:09Z,109,66,35.203487,-106.619875
1527,2016-09-05T13:02:10Z,109,64,35.203472,-106.619825
1526.8,2016-09-05T13:02:11Z,109,66,35.203456,-106.619775
1526.8,2016-09-05T13:02:12Z,109,65,35.20344,-106.619726
1526.8,2016-09-05T13:02:13Z,109,67,35.203423,-106.619675
1526.6,2016-09-05T13:02:14Z,110,67,35.203407,-106.619624
1526.6,2016-09-05T13:02:15Z,110,66,35.203393,-106.619573
1526.4,2016-09-05T13:02:16Z,110,67,35.203379,-106.619521
1526.6,2016-09-05T13:02:17Z,110,67,35.203365,-106.619469
1526.4,2016-09-05T13:02:18Z,110,67,35.20335,-106.619417
1526.8,2016-09-05T13:02:19Z,110,67,35.203334,-106.619366
1526.8,2016-09-05T13:02:20Z,110,67,35.20332,-106.619316
1526.6,2016-09-05T13:02:21Z,110,65,35.203303,-106.619265
1526.6,2016-09-05T13:02:22Z,110,66,35.203288,-106.619213
1526.6,2016-09-05T13:02:23Z,117,65,35.203273,-106.619162
1526.6,2016-09-05T13:02:24Z,117,65,35.203259,-106.619111
